id,alias
8120121,math-1
8120122,math-2
8120115,phys-1
8120116,phys-2
8120097,diffeq
8101671,antena-lab
8101557,cad-lab
8101022,elec1-lab
8101024,elec2-lab
8101026,elec3-lab
8101583,dig-elec-lab
8101021,ind-elec-lab
8101986,bio-instr-lab
8101705,sdr-lab
8101032,rel-prot-lab
8101401,lighting-lab
8101713,elec-fab-lab
8101473,os-lab
8101012,linear-ctrl-lab
8101275,digital-ctrl-lab
8101485,power-sys-lab
8101721,net-lab
8101036,hv-insul-lab
8101016,elec-mach-1-lab
8101017,elec-mach-2-lab
8101711,mm-lab
8101041,microwave-lab
8101700,fit-lab
8101141,dig-comm-lab
8101548,logic-arch-lab
8101047,circ-lab
8101954,elec-lab
8101044,comm-circ-lab
8101045,logic-lab
8101469,arch-lab
8101046,micro-lab
8101470,db-lab
8101993,dsp-lab
8101743,sw-testing
8101092,prob-stat
8101103,antena-1
8101002,instrumentation
8101980,rehab
8101707,radiology
8101503,ui
8101459,db
8101674,mgmt
8101675,eng-eco
8101072,electromag
8101087,elec-1
8101088,elec-2
8101089,elec-3
8101445,dig-elec
8101078,ind-elec
8101748,adv-alg
8101100,data-trans
8101105,measure
8101109,power-analysis-1
8101111,power-analysis-2
8101761,par-prog
8101119,adv-prog
8101142,elec-install
8101144,signal
8101709,hosp-equip
8101145,or
8101149,sys-ad
8101174,lin-alg
8101983,elec-safety
8101200,rel-prot
8101744,formal
8101206,eng-math
8101523,discrete-math
8101207,micro
8101209,english
8101139,ee-ds
8101437,ds
8101480,discrete-struct
8101443,os
8101224,lin-ctrl
8101312,nonlin-ctrl
8101447,adv-ctrl
8101945,embedded-rt
8101218,intelli-sys
8101412,net
8101342,oo-sim
8101246,pres
8101424,design-alg
8101612,co-design
8101944,sld
8101460,pl
8101446,vlsi
8101471,ood
8101160,core
8101804,fpga
8101536,cad
8101499,hifreq
8101426,interface
8101420,compiler
8101260,energy-trans
8101259,hv
8101268,hv-insul
8101277,elec-phys
8101285,modern-phys
8101981,physio-1
8101982,physio-2
8101290,filter
8101294,internship
8101303,elec-workshop
8101304,gen-workshop
8101305,comp-workshop
8101602,stoc-ctrl
8101309,ind-ctrl
8101458,elec-mach-3
8101326,spec-mach
8101425,elec-mach-1
8101322,elec-mach-2
8101328,microwave
8101991,net-sec
8101663,sec-comp
8101706,thermo
8101737,wireless-net
8101673,fit
8101703,entrepren
8101347,fcp
8101720,mechatro
8101989,elearn
8101354,comm-1
8101355,comm-2
8101670,wireless-comm
8101554,electro-circ
8101522,elec-circ
8101359,elec-circ-1
8101360,elec-circ-2
8101366,comm-circ
8101367,logic
8101701,it-strat-mgmt
8101984,med-info
8101672,it-pm
8101423,arch
8101710,mm
8101708,med-phys
8101976,e-com
8101568,biomed
8101619,ie
8101461,se
8101389,fw
8101444,mach-lang
8101613,graph
8101397,ai
8101317,graphics
